TAREFA                        CATEGORIA         PRIORIDADE  
............................................................
Limpar a cozinha              Casa              3           
Finalizar relatorio           Trabalho          5           
Caminhar no parque            Lazer             2           
Marcar consulta               Pessoal           4           
Lavar roupas                  Casa              2           
Responder e-mails             Trabalho          4           
Assistir novela               Lazer             1           
Fazer Exercicios              Pessoal           3           
Organizar armario             Casa              2           
Preparar apresentacao         Trabalho          5           
Sair com amigos               Lazer             3           
Planejar viagem               Pessoal           4           
